Id;Valoración;Mensaje
1650;2;"@nateflynn go to twin peaks &amp; check out the view of SF    don't forget your jackets/hoodies!"
1651;2;@stephenkruiser I'm so sorry to hear that.  It's always sad when we lose those close to us, as we loved them.
1652;3;@mozunk you can do that. just go hover over the tweet in the favorites, then tweet, then favorite. it will unfavorite it. 
1653;2;The train is travelling at a speed that will get me to the gym before work 
1654;2;@rhifreakx yes yes!  btw, when r u at the airport on friday? My plane's like at 5:00
1655;2;brb going to Ireland 
1656;3;Okay, I'm good.  *counts to 10*
1657;2;Late night shower. Refreshing 
1658;2;is feeling a little cold, but very very happy about being back home again 
1659;2;is thinking big v twin 
1660;3;OK bedtime for me...  We made it through another Monday!!!  YAY!!!  Night Tweets!    *poof*
1661;2;@danzero  so... could you spoiler me? 
1662;2;just an hour and 25mins left of work and then jo and i are hitting the gym 
1663;2;goddamn you Danny, i started your video then realize its 11 fucking minutes, I WANNA GO TO BED!!! lol i do love his Video Diaries though! 
1664;2;Good morning dudes! Another day full of sunshine  but classes will take until 4pm :-/ but I don't give a shit. BBQ this eve :-D
1665;4;lol at dion putting eyedrops in his eyes 
1666;2;@rosekimknits Thanks  Now I need to find a real excuse to not splurge on yarn.
1667;4;Good morning everyone! 
1668;2;cant sleep but im still feelin like a piece of shit 
1669;2;@xallthatjazzx The very night I watched it, I downloaded it to my laptop and am now very tempted to watch it lawl. 
1670;2;@stephenkruiser oh  my sympathies. it's a hard decision. i always hope my old border collie will go in her sleep. she's 14 too. *hug*
1671;3;@hiannie Tiger is great, love the voice 
1672;2;@DChetty I feel that way about sleep. What's the point if I am just going to wake up in a few hours anyway! 
1673;2;@mari_chiquitita nice pics from last years festival. How about we plan to meet there next year! 
1674;2;@blueargon I lived the first handful of years of my life in Jacksonville, NC 
1675;2;is home from work 
1676;2;@alix_says, it's just like school except there's even more homework and everyone's a lot nicer (normally) 
1677;2;@Jnez How are the kitties/kiddies? 
1678;3;@ILUVNKOTB he wants u to follow who he follows on twitter. some very nice organizations 
1679;2;@lockbox EC year is nicer and you can stay up til 2am only if you prefer 
1680;2;@tweeterdiva already did! 
1681;3;@josephheustess ...well there was this really cool part where... i wont spoil it 
1682;3;i drew a cute baby zebra i think he is my favorite so far 
1683;3;http://tinyurl.com/dg82p9  ok this might be in top 5 funny family guy clips 
1684;1;@limbecky I'm doing the time warp without you and am sad. 
1685;3;@theresawhite this is true, lol but it's still a slap in the face after such a warm end of march 
1686;0;I hate converting movies just to put em on my itouch 
1687;2;gross i have a pimple 
1688;4;@Torturedlady yea  ma'naaaaaaaaaaaaaaaaaaaam (marwan accent) lol
1689;2;one less follower tonight 
1690;2;@Unholyknight so did your mom last night.  brb while I figure out whether I just burned you or myself the most.
1691;2;"I feel like I am the only &quot;twitterer&quot; not on TweetDeck. "
1692;2;@Wyldceltic1 He has Karate tournament in 8 weeks  
1693;2;going to sleep can't be up until 1am again...and no I didn't finish my statistics homework! 
1694;2;North carolina baby!! Aint nothin stopping them but the nba draft 
1695;2;Can't sleep again 
1696;1;I reaaly miss john mayer's twitters.  fuck rude people. Remove him if you don't like his tweets, bitchfucks.
1697;2;is going to have a late one at MQU today 
1698;1;im so tired of work...i need a life.... 
1699;2;just leavin work, my feet hurt 
1700;2;@PlayRadioPlay that was so sad and unexpected.  i totally cried haha.
1701;2;Superneej: Morning! Bah Car won't start.. waiting for the ANWB.... 
1702;2;Still doing my homework!!! 
1703;1;A little sad 
1704;2;"@deepbluesealove My Mom &amp; Dad both get up around 6...too early for me "
1705;2;should've been asleep two hours ago 
1706;1;@stephenkruiser So sorry to hear about your dog. 
1707;2;Funny how the little things make me homesick, criminals breakn n2 a brownstone on LawNOrd CI made me misty 
1708;3;"@djsoulsister yeah, great vid. I had the 12&quot; single, but sold it a few years ago "
1709;2;im on val's mac in iitsc clubroom. still sweating 
1710;2;@stephenkruiser awww so sad!!!  I'm so sorry!!
1711;4;UpdatingFFE.  That gives me nothing to do for a good twenty minutes!
1712;3;Hot compress not rily workng for pulled muscle  gng to bed, good night
1713;2;"Have an invite for &quot;Healthy Dining&quot; session at Ashok Hotel today with Exec Chef R.Chopra but damn workload - will have to skip it! "
1714;1;@stephenkruiser I'm so sorry to hear about your dog   wishing you happier days to come!
1715;2;@hellivina I miss 'em too. 
1716;3;@misstoriblack cool , i have no tweet apps  for my razr 2
1717;2;I'm off too bed. I gotta wake up hella early tomorrow morning. 
1718;1;still procrastinating... i hate organizing my clothes  there's just so much....
1719;3;Just been playing with the new Mobbler v0.4.0 and it adds some great new features, but won't play music on my E71, like v0.3.5 did 
1720;2;@latroneb oh but there's one bestie missing 
1721;2;@esuriospiritus time to come back to flawda for double dates! no, seriously, i'm sorry to hear that. 
1722;2;I'm up way to late to be working for a client 12:10 AM  #fb
1723;2;blegghhhh i have to go to work 
1724;2;Back at work  @ John Muir Dr http://loopt.us/KoqAbg
1725;2;@DAChesterFrench I emailed you yesterday and u never responded 
1726;2;It's going to be a long year for A's fans. 
1727;2;Just got done watching the new House episode.Definitely one of the saddest episodes ever. 
1728;1;Man... taxes suck.  I'm horrified that i did something wrong on them.  TurboTax decided to keep around a lot of the stuff I turned off.  
1729;2;Sleep time.  Tomorrow is gonna suck 
1730;1;WTF Not Kutner!  Oh I'm so pissed @ House.  I mean really WTF   
1731;2;@AmberPacific i know i dont know why i said that 
1732;2;CASH RULES EVERYTHING AROUND ME 
1733;2;Just picked up some oats from the market to eat for breakfast with my boy @adamgoldston now time to do work at USC... late night 
1734;2;i feel sick  too much icecream
1735;2;@faithgg45  this computer doesn't have shockwave...blah  no account yet
1736;3;@RubyRose1 awww wish i could go! but its in sydney 
1737;2;@luxuryprgal hahaha suriously! I feel like everyone knows this show is a joke except lc! 
1738;2;I just can't spell today, i totally suck 
1739;1;are you vaccinated against chicken-pox?should I vaccinate my 3 yr old?I am SO confused about this damn thing 
1740;2;@ school  at least last day!!!!!!
1741;2;Yawwwn! Gotta get up early tomorrow  who's ready for the weekend???
1742;2;i miss being at home for calving season...sad that black one died this morning  wish i had some bottle calves!
1743;1;@stephenkruiser i so sorry for your loss. my brother dog sam is sick w/cushings disease. 
1744;2;Back to work. I get to spend the next 8 hours alone in the dispatch room 
1745;2;there's a new kind of starburst: favereds. sounds fab, bc cherry and strawberry are MY fav red's but they added watermellon and its yucky 
1746;2;Well, so much for being productive on my 2 days off from Angels 
1747;2;@andreabakes Oh gee - insomnia sucks   Have you tried melatonin?
1748;3;Hamu is on my tour tm!!!! I'm excited 
1749;2;"http://twitpic.com/2y3pg Not what I need for my current project, but THIS is ONE FUN &amp; FUNKY FONT! "
1750;2;making dinner with my son 
1751;3;@rachhiiee_ jenny knows i love er. 
1752;2;@McCainBlogette Head over to the nearest Walgreens.  You need ear plugs and beer STAT.  
1753;3;@TissieTC I agree with you!.. @nick_carter doesnt love us as much as @brian_littrell does  ? cuz he comes and visit us at fanclub chat!
1754;2;@ty_fed u asked earlier about waking up....guess what...waking up at 3 am is bullshittery too! Past bedtime night guys! 
1755;2;"@Jon_Favreau &quot;never worked on a sequel&quot; Maybe that's what we need to have a sequel live up to the first? Either way, can't wait! "
1756;3;@socalgurl83 LOL nice, thanks for translating 
1757;2;@chanc Can't wait to see you in 4 sleeps and 3 days! 
1758;4;Good morning everyone 
1759;2;@tipsen5537 i should've clarified...why can't everything just work *for me* 
1760;2;@JACATRENICH there ya go silly boy. nice job 
1761;4;@JoeandJesse awesome!!! see you there!! 
1762;4;@vivekg86 Good to hear that we have support in NetBeans. But then its NetBeans you know 
1763;2;@lspearmanii @milagro88 @dmf71 @paulmason10538 @mauibeech @gunka @maczter @ThankTank  #Gratitude
1764;2;@heidimontag I wish we would get it the same time at the rest of world. unfornately I am in Cairo and have to wait for mtva to play it 
1765;2;heartbroken over little sandra. prayers are with the family. 
1766;4;@Dr_Alli Will Jack EVER die?! He's defied death more times than I can count...dude's got more lives than a cat, lol. 
1767;2;@jonnylawchicago...I appreciate the recs 
1768;2;@davekim volunteer for the hunch beta invite... 
1769;2;@phillyan man ur picture is so small on my phone... I can't tell fropm that...give me a hint 
1770;2;Training course today so just hope to stay awake through it 
1771;1;@hadtobeyou I'm at 900 words, it's all can do  I'll finish tomorrow maybe
1772;2;@IsabellaMCullen Rodneys at Yaletown. May I ask who you are? 
1773;2;@MissGoogle Dubai to Montreal, not a big relocation shock is it ? 
1774;2;YO CONOSCO A SUMMER GLAU !!!!!!!!! SUMMER GLAU IS MY FRIEND 
1775;1;@SinnamonS damn, I guess I'll be up for it afterall...for awhile anyway 
1776;2;@shortiethug how come ur background covers the screen but mine is in the corner? 
1777;2;@lightinthesky wow. enjoy! 
1778;2;@nicefaceMITCHIE girllllll you know 
1779;2;@lynj65 Thanks for the encouragement! 
1780;1;@vene2ia I know...what a crazy world! 
1781;2;Mmmmmm shower and cozy bed. Soooo nice after this long day 
1782;2;mock + documentary=mockumentary  
1783;2;I have this strange desire to go to confession!!!!! 
1784;2;@i_reporter answer sent in dm. try it 
1785;3;"@brooklynunion cuz ur 3pm is my 9am and Id be either asleep or airport- bound...  Ima sneak sum'n special in 4u, tho ;-)"
1786;4;@littrellfans Its all good. Just figured you would like to know. 
1787;2;@nicolerichie Yea I remember it 
1788;4;"@matt_the_great forget the rest...You need to spend the night in prayer cause your only hope tomorrow is a good dose of grace &amp; mercy! "
1789;4;"@mileycyrus  milezzzzzz, you are da best &amp; ur music 2. cant wait 4 da hm movie, it will rock   love ya ."
1790;3;Nice run last night in the rain. Nobody about just me and some twittering birds!! Spinning tonight #triathlon training 
1791;2;Mackie Manhattan is in the building 
1792;3;just got TwitterFox.... so excited! 
1793;3;http://www.flashsell.co.cc/parfumeslist.html - Fragrance House offer up to 70 % off ! Amazing 
1794;2;It's a brand new day  Dr. Horrible is AWESOME!!! http://www.hulu.com/watch/28343/dr-horribles-sing-along-blog#s-p1-st-i0
1795;2;ahhhh time to feed the tribe lol chicken casserole with veg yummo 
1796;2;@RobKardashian Rob, Your my fav Kardashian, Please say Hi to me 
1797;3;@hanlly That was a cool blink song. 
1798;3;@ShawnORourke lol tru dat! thanks bro! 
1799;2;I got sunburn today haha. i was outside the wholeee day SKATINGGG 
1800;2;@dmf71 rrrrrr you so very sweet a big hi to you!!!!!!! 
1801;2;Wrote exactly three lines of dialogue tonight, then gave up. 
1802;1;@Katnkyeri MAD RESPECT to you! 
1803;2;For everyones clarification I am not on the run from the law or anything I am just having a few quiet months trying not to go out 
1804;2;@ashman01 My only complaint about Facebook is they've changed it so much it's confusing 
1805;2;Sliced my finger 
1806;3;loves spending time with a newborn... i love you zoe!   so happy you joined us early!
1807;3;@FrankSchuil IRL is way more user friendly in my opinion 
1808;2;@BeadieJay Thanks (twice).  Work start date put back again. Maybe Thursday. Maybe after Easter.
1809;3;@juliaroy you are just a tumbling fool. Love it. 
1810;3;@triplejHack true off to the #startrekmovie world premiere soonish. enjoy talking about supa-fast interwebs with conroy 
1811;2;going thru town and traffic on bypass is stink 
1812;4;Ugh can't sleep.  Wish i had a good cuddle to  Make me ass out 
1813;2;hehe, I'm such a dork, but I like my hat anyway.  
1814;4;Good morning Twitt-dudes for all around the world 
1815;2;@Staci_Marie I have to go outside to smoke, so I do that all the time. I live next door to a bar so the sounds aren't always soothing lol 
1816;2;@JonathanRKnight Yay...Jon is an activist too!  Wooho...
1817;0;I hate when software update downloads updates without telling me. I never know what's downloading when it is 
1818;2;went to ihop again. Great for a diet   At least there were no kung foo pancakes this time. -Rachel-
1819;2;The internet is hating me. Night i s'pose. 
1820;3;@JoeyLibetta Been better. Sore throat and sniffles today. You well? 
1821;2;done with all preparation... starting revision now..  i have my signals ans systems exam today .. wish me luck people.... 
1822;2;@contactabe I'm so jealous.  I missed all of opening day this year 
1823;2;@flamingindigo @natalielim click mouse! hahaha... i dont work with mice. 
1824;2;It's so cruel having to wait for reviews to come in.  So far it looks like Star Trek will be the best film of the year!
1825;2;Thanks to my new followers! 
1826;2;can't wait for ball season to start in 3 weeks!  Getting my ball equipment home this week 
1827;2;@LaBelleMusik I got slumdog millionaire from my netflix today. yeaaaaaa 
1828;2;Fun sight: A biker got sandwiched bettwen two cars in high speed..Did he die?NO! he just stod up with his sigaret still firm in his moth! 
1829;2;Had an interesting, really random day... I'm glad my friends have found it hilarious... keeps me goinig. 
1830;3;@DaveBos its okay ive done it once didnt but Wooo Stayed up longer then expected lol 
1831;4;@dk_emmanuel Solomon was supposed to be wise - but 3000 wives - I'm thinking not 
1832;2;Bad day today just bad but loved seeing sancha again 
1833;2;Debating if I should just shower now, so I can sleep a little later tomorrow 
1834;2;I wonder what jon thinks when he see's all his tweets, i picture him and jordan busting a nut laughing at us.  oh yeah.. jordan...
1835;4;had a great ending to a great day!  Being brave pays off.  Thank you Jesus-seriously.  Now off to watch the Hills and then bed!
1836;2;Pray for my friend @growline late work...pray it all goes well...with energy from our Lord!!  God is Good! #worldprayer
1837;2;@KesavaReddy  mba is good for learning tools/techniques..but one shouldn't start taking the jargons seriously!
1838;2;@materialBITCH totally real! Theres no way that was faked! Aweosme though  HA
1839;2;taking a shower 
1840;2;@Hail_Mary_Jane They banned me so I can't help you myself, hopefully others will 
1841;2;believes i'm a twitter-whore. (twitterers Anonymous), T.A meetings here i come 
1842;2;@chamillionaire naw naw fuck that son, fuck that, u best respond to every tweet and twit u fuckin get! fuck the studio! fuck your life! 
1843;2;@MiltyKiss what are the theme songs for each, again? All I know is DBSK's Rising Sun is in it! 
1844;3;"OK, that was good. Totally grooves with a lot of the mythos in the original. &quot;There are those who believe life here began out there...&quot; "
1845;2;"@CuttaC @cocoandbreezy @zillaman @DatBoiBabyC @WRECKAMIC @ and everyone on here reppin Texas and Dallas, Mad Love &lt;3 Good nite y'all "
1846;2;@ColorBakery http://twurl.cc/qs4 Try this page 
1847;2;@camillejaiden I saw that 
1848;3;@JonathanRKnight Don't let the bedbugs bite.   Sweet dreams.
1849;4;@NileyJemiLover Your Welcome Bestie Whats Up Hunz? 
1850;4;"done with &quot;The Hills&quot;......have the flu....I think? But I need a smoke. LOL. "
1851;2;@christy8_77 and just when did you arrive? hiya girlie 
1852;2;My stress always culminates with physical pain.  
1853;2;/nickserv register izon 123456 xxx@gmail.com  re: http://ff.im/1XVdh
1854;2;GOOD NITE EVERBODY I HAD A LONG DAY AND DID A PROJECT NOW IT IS FINALLY TIME TO GET SOME REST PEACE 
1855;2;@marlycat  :o do i have 2 say hey to continue been followed?!  ily 
1856;2;@katayy what do you think of Kelly clarkson? her new album has been pumping through my MP3 player for weeks now 
1857;2;@Prince_P follow me chris!! 
1858;2;need to sleep. but cant 
1859;4;@JonathanRKnight Good bless you too! hehe  Hasta pronto!!
1860;2;@nanalipzz89 BabyKnightOwl  I won't call you Trudy if you don't want it lol I am fine why are you in a bad mood sweetheart?
1861;2;@GayTwink just for future reference, since i know you plan to message me hourly, its mykl4 with an L not a 1 
1862;2;my little pinky finger hurts so much.. 
1863;2;I M La Boheme: NSFW hey guys, spread the word! the green party is in town!  ?I...: hey guy.. http://tinyurl.com/dlevo2
1864;1;@sarahsaturday I'm sorry your gift card ran out.... That suck. 
1865;2;home for spring break. no one is home tho 
1866;2;I accessed oneindia.mobi from a Google phone (Android). It doesn't support Indic languages 
1867;2;Why does school take over your life so much you don't get sleep anymore  .. I am still doing school work and have more to do as well
1868;2;@MTsiaklides aw I wish I could! I can't really speak to my yia yia because she doesn't speak english 
1869;3;@winggato no free comp lol 
1870;3;getting ready to clean the house from top to bottom 
1871;2;crying  my friend is moving away tomorrow 
1872;2;@swiftkaratechop STOP NOMNOMS!!!! ..you didn't share!  Night peoples!!
1873;1;thinks she is getting a cold that she caught from Daddy.  Oh no, my trip would be ruined. 
1874;2;@moony394 yeah  is it bcoz kal penn is a visiting lecturer somewhere n cant be on the show anymore? im gonna miss him 
1875;2;So the procrastination starts early in the quarter. I don't want to reaaaaad and write a paper 
1876;2;What? Apparently it's 52 degress at 11pm in Washington State. I miss winter already 
1877;1;being bored at homee 
1878;2;massage was great. i just spilled coke all over my desk  lame. watching the simpsons as i've finished all my hills dvds.
1879;2;@nick_carter I will wait for you at fanclub chat.. even tough you're not my favorite 
1880;2;"has a mild left inner ear infection.. and its got this irritating &quot;blocked&quot; feeling since sunday.. "
1881;2;@JaneBodehouse Hey there! Nope. My cuteness @HoytFortenberry is away for awhile 
1882;2;It's only tuesday 
1883;2;Haha not even yo. I just didn't know how to do that @thang to you on twitter  Haha
1884;2;Someones alarm clock or a phone woke me up at 3am...Still got my headache from yesterday night 
1885;2;@kalichosich awww poor puppy is she ok? 
1886;2;i might break down and eat some buffalo wings tomorrow 
1887;2;Sittin here w/Kayla, I really really reallly dis-like having a brother.  He doesn't know when to stop. I'm waiting for the day when one of
1888;3;Fed bokkie too many birthday treats-sicko 
1889;2;'s Kinda Bummed. An Agency Just Told Me That I Didn't Have The 'LOOK' That They Were Going For. Ladies, Please Help Me Create The 'LOOK' 
1890;3;Work laptop is officially dead .. Not happy at all.. 
1891;2;My goodness, it's freezing down here !!!!! 
1892;2;@heidimontag why do you put up with him!!!!!  You should listen to your mom 
1893;2;is stucked in Paris and can't even travel into France (for work) 
1894;2;@JoannaFBeckett, i don't think there's one close by. Last time I checked, the closest one was 70 miles away! 
1895;2;aaaaand back to my literature review  At least i have a friendly cup of coffee to keep me company.
1896;2;I am worried that I won't get my $900 even though I paid a buttload of tax last year ! 
1897;3;Okay, so.. STILL NO SCHOOL!!!! 
1898;2;IS PHONELESS  ...NOW OFF TOO SLEEP
1899;1;Reeked of alcohol at the dentist this morning + was drunk when i put on my tshirt, realised it had a huge stain. Dentist looked disgusted 
1900;1;it is really cold 
1901;2;cant sleep  she wants to dream!!
1902;1;Can't sleep  I hate these nights when I try to go to bed early and stay awake for hours. Poo!
1903;2;@rootbeersoup Yeah. Too bad people like a certain burrito-eating man exist. 
1904;1;@Cronotriggers  that's sad.
1905;4;just found out that my mum  and my adopted auntie are on twitter.. check them out my mum is TessM64 and my awesome as auntie is tania38
1906;2;Cannot sleep....WIDE AWAKE!!...and I gotta go to work later too. Boy, am I going to have a crappy day. 
1907;3;@thejoe78 sounds like you're enjoying pregnancy 
1908;2;@paulmason10538 Ha-ha, don't you go starting again. I've stopped playing with it now, Mobbler I mean 
1909;2;struggling with eam law 
1910;2;@NOSSOATELIE Thank you dear! 
1911;3;zombies can be cute... in cupcake form... on a necklace   http://tinyurl.com/djbec4
1912;2;Why can't I sleep like her  http://twitpic.com/2y3ty
1913;4;@daydreamer20 Good post. 
1914;2;One more hour for lunch .. its tough to kill time.. particularly when u are supposed to be working 
1915;2;@thecrazyjogger ITC latest changes to the network made me crazy yesterday ! but now it seems to work ok 
1916;3;REALLY heavy rain, at the top of 18flr building  Splendid.
1917;2;At work...only 2 more days to go and then i am off for 7 more days  yay!!!
1918;2;Bouts to start 24. Poor linny couldn't keep her eyes open.  she tired and has to work tomorrow morning. Night @ilovefatsusan.
1919;3;being sexy and really happy 
1920;2;Desk up to ?1.24. I think it'll be a flyer! 
1921;2;@BuzzEdition how have you been susan 
1922;2;My My Book just arrived  It was sitting in a box 10 times its size. Just roll-y poll-ying around.
1923;2;My 4 year old (18 year old) is driving me around the twist...i don't want to be like this 
1924;4;I'm going so good without myspace, msn and stuff 
1925;2;Goodnight 
1926;2;@karanbir Excuse me? 3 yrs ago you were all over Subway's nuts  Indian Restaurant, cuz all these years I still haven't been to one.
1927;2;@stanleytang I agree it is much more productive without Twitter 
1928;2;No much traffic at the vacation time, but the few cars are driving more than crazy. Most germans are very agressive drivers.I miss Canada 
1929;3;Went to Calgary with some of the lads (Gaspar had to sit in the boot  ) to watch the Flames versus LA Kings. Calgary won 4-1. Nice night.
1930;1;Once, I told him a story about ghosts being in my room.. For days, he talked about being very afraid. This kid knows how to heal himself. 
1931;1;I'll sleep well tonight.... If the missus doesn't kick me out for being so late home, that is 
1932;1;anyone who reads my twitter is either very into education or bored le crazy! might throw in some naughty words to spruce my page up tehe 
1933;4;"What an awesome day   Boy am I grateful &amp; blessed, and I know it."
1934;2;Progress on the Math Quilt is slow, but steady. Tomorrow I will teach children and finish sewing the Quilt. Then on to my beloved comics 
1935;2;@teleken It's a feat of USB engineering! Makes every day a party.  
1936;2;Well, that sucked. 
1937;2;i have to be out of my place in 3 days...any help i can get packing/painting/cleaning is much appreciated. oh. and RIP my wall  
1938;2;Opening a partially frozen beer= Beer on the toaster, under the oven and all over the counter. The kitchen smells like we run a speakeasy 
1939;2;@mydesire I saw that earlier on Darker Sights/Sounds. I subscribe to that blog in my google reader.  Yummmminesssssss.
1940;2;Back on the 7am train ... Rubbish! Only for 3 days though! 
1941;2;@stewiebrittany no  i dont even know how to ride it
1942;1;@MonaSmith sadly, yes. i think i need counciling now 
1943;3;@bustxamovex i love you 
1944;4;@mrskutcher ur awesome 
1945;2;fight fight fight 
1946;2;currently obsessed with John Mayer's rendition of Free Fallin' http://tinyurl.com/cddc7g   
1947;2;@ninjen G'Night, youngster. Rest well. 
1948;2;making myself ready for school...don't feel like going, but have two tests 
1949;3;@adeline_sky  that sounds fantastic! You're amazing! We need to watch some Muse gigs too! Shall we do it Saturday night?
1950;2;It's a sunny day today! This spells sweat hell if I go out for tennis. Overweight and out of shape and I'm about to run around an hour! 
1951;3;@StarChile.....ahhh.....alright. Thanks. Congrat's on your team's win today 
1952;3;@ariherzog Fun stuff!  Night Ari!  I'm sure blip will be there tomorrow! 
1953;2;@janeeTMB thank U so much, you're not late, technically there are 45 mins left in the day since I'm in Cali.  
1954;2;@shilshi older by a few days on twitter! let's see who puts a profile pic first 
1955;3;Just got back after an rough roadtrip to Amsterdam on the motorcycle. Had an excellent time there 
1956;2;@janicerose brody my friend 
1957;1;@cobaltcow that's so true! Thnx man, that means an awful lot to me 
1958;3;God is a faithful God...i said promising and promising it was. Time for bed...so tomorrow may bring another beautiful day  goodnight luvs.
1959;2;BeiiNg NaUgHtY 
1960;1;@mkl4  oops sorry dude, i'll go and get on that.  i'll be looking forward to your tweets 
1961;2;@stylekid  the mint ones are the fall cookies.  The spring ones are the chocolate/vanilla.  I think I can still get some mint ones. 
1962;2;@ilovespots Thank you  I hope the boys wear them this week!
1963;2;@mandyblake  I was just about to X out of here for the night and saw your post, I started laughing!  You are funny!!  
1964;2;@tickvg ooh sounds painful but have a good one 
1965;1;Smugness gone. My train also failed to turn up so I'm heading for Victoria followed by an unpleasant tube ride to the City. 
1966;3;@hellivina You just gotta find something that speaks to you - and dive in.   I help rescued animals - those fuzzy faces make it worthwhile
1967;2;http://twitpic.com/2y3v4 - vote for Gilles Marini on Dancing with the Stars! 
1968;2;@Eeoor - My pleasure! Let me know if you end up subbing, and what 
1969;2;Anybody know where my iPod went? 
1970;2;@imbanditspal to each her own, I say!  
1971;3;ok so the twilight book is pretty addicting, chapter 6, now its time for some sleep.. Good Night Tweeps 
1972;3;@katdogs Ya I'm first generation here in the states so my parents and grandparents mainly speak Greek.  Yiayia's are the best! 
1973;2;@shakn if you make samosas regularly 
1974;2;@jentheju don't cry 
1975;1;aww this earthquake in Italy has made me sad  just saw the pics on the news, it's terrible.
1976;2;@lilibat never been able to afford to get them out. I'd much rather go through the extraction than continue with what I deal with now. 
1977;2;just signed in 
1978;2;@suitelifeofkell yeah, well, we'll still talk about it, he just wont have any idea  plus i havent even talked ta him bout it yet
1979;2;@DontaStorey Boy stop Pssh!  What you been up to?
1980;2; Why do other pet care people try to run others out of business? Or send suspicious e-mails fishing for info?
1981;3;yay finally  lmao
1982;2;"@kameelahwrites &lt;33 codez....they've been MIA tho "
1983;4;Morning everyone! What a beautiful Day...Yay! 
1984;2;late night mcd's run and back for more homework. ahhh, the life 
1985;2;ok... headed to bed. tomorrow I open shop for freddy and eddy 
1986;2;Mucho research to do today if I want to crack on with 2nd sweet charity auction fic - and I really really do 
1987;4;Went to the Dooce book signing.  Got my book signed.  Made an ass of myself.  But otherwise a good time. 
1988;2;@reannaremick doesnt work on my cell  go to sleep! =P
1989;2;@citrusandcandy because of the movie or the person asking you out? 
1990;3;I really hope im getting better. The nyquil is making me say good night. @marielxo hope you had a good time 
1991;1;@rachhiiee_ im sorry im not a neetball deeeeb.   nah jennys mine  she talks to me on facebook.
1992;2;@ruhanirabin and again this would help  http://technorati.com/tag/barcampkl
1993;2;day 2 is almost over!  i can't wait to eat wade...hehe...
1994;2;@voodooexp2009 i will give my first born to have ghostland observatory at voodoo again 
1995;3;it's going to be nice again tomorrow and then the rain comes back. no nice weather for my birthday 
1996;1;"i'm thinking i'm blessed that ive a cmputr &amp; a fireplace on ths cold evening. Feeling content, I shall scuttle on off 2 bd  Nite all"
1997;3;there are times when we surprise ourselves by exceeding expectations! and when others notice that.. it surely feels good 
1998;2;@taliasunset rock band is hard..on expert!!! 
1999;2;@beachbassbone: roomie was home all day. All he had to do was scratch at the door. Comforter has to goto large laundromat machines. 
2000;2;Back from camp!! YAY!! What did I miss? 
2001;2;@DaKing240 jealous regaring Godfather II. I hope I will get it next week delivered by Amozon UK. I want this game 
2002;2;"@Brajeshwar Wow that's something unique. I wonder how they trace &quot;our&quot; roots "
2003;2;@ad1951 _if you really had something like the exchange w/ @maikwl  in mind beforehand than I admit being utterly and positively surprised 
2004;3;@camillejaiden Dude.  Wow   Now I kind of sort of wished I'd gone, but still ehh.  $35 for 1 band.
2005;3;"Work like you don't need money, Love like you've never been hurt, &amp; dance like no one's watching. Good Night Tweethearts! Till tomo... "
2006;2;re-booting my room 
2007;4;@dustyedwards Of course! Have a good one! 
2008;2;Happy Birthday to my little girl Jasmine! She turns three years old today. Throwing her a mini b day party tomorrow with just us. 
2009;3;@DanniAsheOnline I think that would work nicely gurl! go for it! I believe many, many people would sign up! 
2010;2;One of the hardest thing with this schedule, no one I can chat with at the end of my day usually 
2011;3;@rootbeerfloats8 Nah, Gee will reply to me whenever he wishes. His birthday is coming up, so I have something that will make him smile. 
2012;2;@Natlbug22 aww I'm sorry. Yeah, my work life is becoming... Intense... The sunshine is fabulous  missin you...
2013;3;@Monkeymoo2  You probably neded it. thank God that you are O.K. have a Good Day across the pond 
2014;2;they killed off a character on one of my favorite shows and now i'm upset 
2015;2;@John_Bishop Oh, TWITTER FOLLOWERS! WOOOOO!  
2016;3;@TechBabe I blame ADD... too many things happening for me to focus on catching you haha... ooh look something shiny 
2017;2;@CartBozman don't you worry matey, I'm still around, just trying to juggle podcasting, life, and my Internet life 
2018;2;jealous of my friends who got to see the new Star Trek film in Austin tonight. 
2019;4;@DOEZILLA Welcome to my fam 
2020;2;@omg_pichu Oh my, who's fighting? *Randomly punches someone in the face* Am I winning? 
2021;2;@pagankinktress ah yes, I subscribe as well 
2022;2;i went on fb and wasn't bothered to check all my notices. 
2023;4;@xShorty4Lifex lol yes  it does and i like it that way 
2024;2;going to pick up @30comau in a sec its our anniversary today 
2025;2;be the change you wish to see in the world 
2026;3;mireika I love love love dancing with the stars. It is so entertaining and fun. Nothing more sexy than a man who can dance 
2027;2;Listening to Q! I got a really bad headache and a drivin lesson in ten mins.... Lucky me  i just wana sleeep!  
2028;0;@Steve_Buscemi SHUT UP you...I am hungry! And in Britain, home of the most boring suckassy breakfast in the world!  I MISS DENNYS!!
2029;4;good morning everybody! pkoi y fais pas beau  bon coffee time!
2030;2;work again 
2031;2;Essay time.... 
2032;3;@chauncey78 hey did u talk to mom.. r they home yet? i hope they r ok.. wish i was coming home 4 easter.. 
2033;2;@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes. 
2034;2;@widyatarina say what??? kal penn's leaving house?! noooooo!!! awww... i totally missed it tonight 
2035;3;no! i lost a loyal 
2036;1;played another hand very bad and lost half my stack 
2037;2;It's 6.20pm - early days in a looooooong night at work 
2038;2;@yaykimo It's sad it's the last season.  I wanna see when Spencer calls Lauren!
